beta0,beta1,y_p
225.8,-2.821,174.5
222.4,-3.787,124.1
216.8,-3.276,161.7
219.7,-3.236,188
227.9,-2.777,194.2
226.1,-4.235,165.2
218,-3.49,125.9
214,-3.142,198.4
216.5,-3.043,140.4
223.3,-2.231,171.4
215.8,-2.993,182.1
215.5,-4.03,165.6
217.1,-3.252,165.8
210.6,-2.484,172.7
224.5,-2.568,188
212.9,-2.493,200
214.6,-2.73,198.9
217.3,-3.854,116.3
225.7,-3.866,152.5
215.7,-3.32,151.7
221.2,-3.169,148
224,-3.499,189.8
219,-3.749,231.9
220.6,-3.838,189.9
221.2,-2.9,197.9
219.9,-3.213,188.8
222.5,-3.576,159.6
224,-4.117,193.9
220.5,-3.176,130
222.4,-3.223,173.8
214.2,-2.925,225.9
214,-3.85,149.7
224,-3.317,152.1
225.8,-3.925,105.2
222.3,-3.938,155.9
217.6,-2.888,180
223.2,-2.911,159.8
228.7,-2.288,210.5
217,-3.125,140.5
225.1,-3.716,175.4
226.2,-3.874,150.5
223.8,-3.452,145.4
222.1,-2.405,233.3
219.9,-2.905,190.7
225.4,-4.022,135.2
221.9,-3.051,155.8
219.2,-3.245,163
220.9,-4.043,168.5
213.6,-2.828,175.9
218.4,-2.523,184.9
213.3,-3.594,140.3
225.2,-2.959,150.1
222,-3.303,117.5
216.4,-2.557,187.3
222.5,-3.693,127.4
227.9,-3.141,153.1
220.9,-2.601,170.7
222.3,-3.835,118.1
214.2,-3.574,124.9
217.7,-2.979,175.7
222.2,-2.622,134.6
217.8,-3.351,187.5
230,-3.351,133.3
225.3,-4.341,116
225.2,-2.848,177.8
209.1,-3.618,208.3
205.2,-3.231,187.7
224.8,-3.668,183.8
226,-3.111,133.2
224.1,-3.594,157.5
221.9,-3.134,219.8
225.3,-3.531,186.5
221.9,-3.565,177.4
217.3,-2.868,103.1
221.1,-3.048,130.7
225,-3.595,138.5
221.5,-3.205,138.7
219.8,-3.048,157.8
218,-3.872,104.5
212.3,-3.845,89.41
218.9,-2.748,131.2
223.9,-3.288,129
223.4,-3.84,117.5
232.6,-3.619,205.2
224.7,-3.37,197.8
223.7,-3.281,182.9
222.5,-4.284,157.9
226,-2.872,136.9
228.2,-3.374,167
219,-2.448,220.1
221.7,-3.666,100.5
216.5,-1.803,185.4
206.5,-2.174,141
216.3,-3.9,109.6
215.2,-3.468,155.8
217.1,-4.112,141.9
224.5,-3.924,128.3
220.8,-2.99,147.3
217.5,-3.406,92.27
214.4,-4.927,165.7
218,-3.048,168.4
228.3,-3.904,130.4
221.7,-3.476,178.5
218.4,-2.933,151
216.7,-3.112,179
215.7,-3.021,157.5
216.4,-2.701,154.6
220.9,-2.703,146.9
224.6,-4.228,186.3
223.9,-3.619,111.9
218.2,-3.139,128.3
219.7,-2.875,145.5
219.6,-3.029,188.8
223.7,-2.717,191.3
219.1,-3.538,121.1
221.7,-3.313,182.7
225.8,-3.05,121.7
225.8,-4.127,154.8
223.5,-3.098,160.9
217.5,-3.052,170.4
219.8,-3.068,189.3
221.4,-2.677,159.3
223.9,-2.988,164
217.9,-3.101,117.7
221.5,-3.257,201.1
216,-3.17,165.2
213.4,-4.095,153.8
218.3,-2.746,150.9
216.4,-3.13,100
221.5,-4.099,144.3
221.6,-2.967,135.5
206.6,-3.905,162.9
222.9,-2.603,143.7
221.6,-3.251,141.2
224.8,-2.512,165.1
208.4,-3.096,102.1
225.2,-2.907,151.7
218.1,-2.57,221.3
224.6,-3.352,171.7
219.2,-3.865,137.8
221.5,-3.022,120.3
217.9,-3.418,221.8
223.2,-3.875,145.5
220,-2.792,133.6
218.8,-3.572,128.7
221.3,-3.421,140
214.5,-4.21,142.2
224,-3.11,170.1
225.1,-3.559,148.1
215.8,-3.197,120.6
236.3,-3.126,140
211.8,-3.197,156
222.4,-2.981,150.8
223.7,-3.111,224.1
218.5,-3.675,177.4
227.3,-3.819,139
215.3,-2.5,170.4
219.1,-3.721,179.7
213.9,-3.643,159.4
227.9,-3.319,88.6
223.7,-3.132,116.7
217.6,-3.693,117.9
220.6,-3.219,163.3
227.8,-3.536,141.5
221.3,-3.419,154.3
214,-2.279,198.8
213.5,-3.247,127.2
221.2,-3.231,155.1
226,-3.934,150.3
219.8,-3.033,154.3
219.5,-2.677,146
217.1,-3.17,197.3
216.5,-2.95,161.2
215.5,-3.336,183.4
227.8,-3.629,144.4
210.5,-4.02,152.8
228.8,-4.758,96.25
218.3,-3.06,135.4
225.6,-4.133,120.5
218.7,-3.545,93.34
216.6,-3.836,149.6
227.6,-3.664,114.7
219.6,-2.487,175.5
224.1,-3.471,115.9
225.6,-3.572,170.8
216.8,-2.572,148.2
223.1,-2.774,185.3
218.1,-2.041,160.1
224.7,-3.899,162.2
223.7,-3.132,124.2
218.4,-3.691,153.4
222.9,-3.225,154.7
220.9,-3.968,201.4
229.7,-2.818,150.8
218.4,-3.346,187.5
217.9,-4.179,140.4
225.3,-3.49,150.4
217.5,-3.114,151.8
219,-3.734,179.5
212.8,-3.183,191
217.1,-3.08,152.1
211.2,-3.963,195.3
222.2,-3.935,163.7
212,-3.848,166.4
225.3,-3.18,195.7
216.8,-3.981,99.07
213.6,-3.262,158.3
217.3,-3.237,172.1
232.9,-3.336,109.4
210.8,-3.482,91.41
235,-4.453,133.9
221.9,-3.815,76.31
218,-2.442,155.9
227,-3.398,168.4
219.7,-2.944,190.3
224.3,-2.544,205.5
222.6,-3.31,179.2
229.6,-2.852,179.5
219.4,-4.596,90.09
217.5,-3.765,127.4
221.5,-3.554,114.9
226.2,-2.987,180.1
222,-3.809,188.3
225.3,-2.808,195.9
228.2,-3.886,181.2
219,-3.378,122.9
215.4,-3.393,192.7
221.8,-2.976,203.3
225.1,-3.299,136.2
209,-3.069,167
225.2,-2.662,227.5
219.1,-3.859,176.5
212.8,-2.421,205.6
222.4,-3.237,189.1
220.1,-3.609,191.6
220.3,-2.859,156.4
216.6,-2.599,192.3
227.8,-3.38,151.5
225.5,-2.992,169.3
214.8,-4.204,122.7
213.7,-3.184,158.9
220.7,-3.684,126.8
209.9,-4.972,108.7
220.2,-2.964,180.5
222.3,-3.454,165
220.1,-3.202,96.1
230.1,-2.569,156.9
226.7,-3.966,152.3
216.8,-2.38,214.5
227.7,-2.93,93.32
218.7,-3.364,161.3
228.1,-3.329,161.3
213.5,-2.635,182.6
219.3,-2.716,140.9
222.4,-2.296,161.6
218.1,-3.5,172.9
210.7,-2.999,211.9
221.3,-3.012,121.3
219.9,-1.871,176.4
224.9,-3.053,194.4
222.2,-3.433,136.8
212.7,-4.135,155.4
219.6,-2.725,176
213.6,-2.918,96.61
223.7,-3.535,186.4
215.7,-3.519,147.8
217.5,-3.151,144.8
217.4,-3.541,110.7
220.1,-2.531,186.1
220,-2.87,189.7
222.3,-3.358,151.2
226.5,-3.533,127.2
219,-3.113,130.4
219.3,-3.817,98.74
220.4,-3.282,184.2
224.2,-2.429,173.7
224.8,-3.624,124.9
233.3,-3.577,173.6
221.1,-3.017,234.9
214.4,-4.526,113.3
227.9,-3.303,152.8
221.6,-3.249,216.1
216.2,-2.564,187.7
218.2,-3.221,217.6
219.2,-3.373,140.5
217.3,-2.913,158.8
218.9,-3.15,181.2
214.1,-3.346,116.6
219.7,-2.759,130.9
221.3,-2.389,172.8
214.2,-3.852,119.3
225.4,-2.762,181.9
226.7,-3.668,99.86
242.2,-4.215,168
224.8,-2.974,207.4
223.9,-3.015,186.8
226.3,-3.258,129.9
229,-3.311,171.4
222.7,-2.671,239.4
212.1,-2.546,190.6
222.7,-3.461,160.9
221.4,-3.003,160.2
222.6,-2.988,183.2
219.5,-3.89,205.4
216.3,-3.803,173.5
224.1,-2.921,193.3
217.9,-3.848,87.84
221.7,-3.309,160.5
216.1,-3.24,115
227.2,-3.681,161.8
222.6,-2.475,231.2
217.6,-3.571,159.3
220.9,-2.958,153.5
214.8,-2.681,190
210.9,-2.872,149.4
213.7,-3.936,93.29
217,-2.596,142.4
218.7,-3.481,173.6
224.3,-3.535,184.9
214.5,-3.015,159.9
220.1,-3.309,115.7
215.2,-2.772,141.4
218,-3.148,160
223.5,-2.818,184.1
221.2,-3.955,191.7
227.6,-3.699,207.6
223.9,-4.085,103.1
223.6,-3.005,158.9
222.4,-2.496,156.8
221.5,-2.79,164.8
219.3,-3.479,138.1
221.1,-3.662,195.4
220.3,-3.176,197
221.1,-2.986,163.1
214.1,-3.754,219
209.1,-2.184,238.8
224.7,-3.708,140.9
213.9,-2.56,159.6
210.5,-2.157,174.6
230,-3.639,140.1
215.6,-3.157,153.7
214.3,-1.911,85.79
217.2,-2.614,130.8
222.9,-4.761,201.7
209.8,-3.385,129.8
220,-3.623,131.1
225,-3.742,174.6
219.1,-4.035,138.7
210.7,-3.865,114.6
223.5,-2.862,170.6
223.2,-3.626,147.5
220.8,-2.526,145
223.4,-2.617,128.3
231.3,-3.498,214.3
228.5,-2.346,180.9
225.1,-4.098,168.9
222.1,-3.501,184.3
220.6,-3.5,138.1
224.5,-3.397,176.3
222,-3.907,124
226.1,-3.59,119.9
221,-3.205,160.4
225.1,-3.211,172
225.3,-3.866,216.6
230.2,-4.227,166.9
222.7,-3.212,160.1
223.1,-4.333,159.9
223.8,-3.237,182.7
218.2,-3.031,134.9
214.5,-3.466,181.8
216.2,-3.028,170
215.1,-2.739,72.59
217.9,-2.962,160.7
231.9,-3.108,184.9
230.6,-3.692,174.4
222.9,-2.515,228.4
224,-3.909,151.3
232.5,-2.858,124.6
221.5,-3.024,146.6
218,-3.526,153.5
221.4,-3.311,139.3
232.1,-3.845,122.8
226.4,-4.142,116.6
225.1,-2.657,183.2
224.4,-3.145,175.7
219.7,-3.098,220.6
219.2,-2.993,207.3
222.2,-2.279,158.4
228.9,-4.308,181.1
223.6,-3.626,193.2
221.8,-4.015,124.3
211.3,-2.524,143.7
221.1,-3.965,144.2
223.5,-2.586,172.5
224.8,-3.26,190.5
225.9,-3.756,136
218.9,-2.973,162.9
222.4,-3.127,166.2
213.6,-3.877,196.8
216.8,-4.012,137.6
226.5,-3.594,190.5
224,-3.305,188.3
221.4,-3.203,113.9
219.5,-4.384,131.2
222.1,-3.922,171
227.4,-3.174,159.8
220,-3.958,78.94
221.8,-3.289,107.6
229,-3.119,157.8
219.5,-3.317,135.3
223.7,-2.757,153.6
220.4,-2.558,216.3
233.9,-2.751,183.5
224.1,-4.347,155.2
223.6,-2.904,178.6
222.5,-3.827,169
213.4,-3.414,140.7
218.8,-2.521,153.6
225.6,-3.093,120.4
226.4,-3.563,149.4
226.3,-3.417,178
225.8,-3.376,170.5
214.5,-2.968,184.7
222.2,-3.644,150.7
213.6,-1.633,160.6
230.2,-2.43,147.6
225.2,-2.607,168.5
216.3,-3.145,121.5
219.9,-3.855,156.1
223.3,-2.978,131.4
217.2,-2.309,196.5
221.6,-3.298,100.3
226.5,-3.108,192.7
222.9,-3.234,155.5
226.6,-3.711,193.5
222.2,-3.448,162.4
215.8,-2.625,139.8
221.1,-2.844,135.9
216.7,-3.392,107.3
216.9,-4.191,138.2
227.1,-3.479,203.1
217.2,-3.11,142.4
230.2,-3.361,171.5
221.5,-3.403,179.4
214.9,-3.457,160
217.1,-3.127,218.7
204.6,-3.22,131.2
215.5,-2.642,171.5
224.5,-2.762,182.8
221.7,-3.657,175.3
229.9,-3.917,210.8
220.9,-3.29,156.5
224.9,-3.535,168.8
206.8,-2.366,84.58
214,-3.248,131.9
223,-3.297,182.6
225.7,-3.091,184.1
218.3,-3.032,169.1
214.7,-4.011,146.9
222.3,-3.215,210.7
220.9,-4.91,128.1
222,-3.471,88.89
217.6,-4.199,104.1
217,-2.85,132.2
224.3,-3.463,49.48
222.4,-3.787,157.7
227.1,-4.041,124.5
220.5,-3.149,181.8
223.5,-2.923,148.6
218.9,-3.257,144.9
215.1,-3.451,100.8
224.2,-2.731,130.4
217.3,-3.304,118.2
212,-3.207,166.1
213.2,-3.265,166.8
224.7,-3.703,150.4
224.1,-4.159,169.5
225.4,-3.408,97.17
217.7,-3.173,139.5
224.7,-3.506,110.5
221.1,-3.282,194.2
211.3,-3.004,161.6
217,-2.813,152.5
219,-3.374,184.7
217.1,-3.508,173.8
227,-3.425,169.2
215.3,-4.055,172.4
212.7,-3.894,113.9
220.5,-2.974,147.8
223.8,-3.184,155.1
216.6,-3.519,116.8
215.2,-2.903,178.1
218.7,-4.081,175.4
222.7,-2.526,179.6
220.4,-3.963,153.7
224,-2.93,153.4
212.8,-3.787,116.9
234.5,-3.697,155.8
220.3,-2.901,168.8
214.4,-3.8,147.9
216.9,-3.22,119.6
215.8,-3.103,129
220.3,-3.845,149.8
227,-3.197,166.6
207.1,-4.072,102.5
216.2,-3.423,125.2
229.8,-4.833,108.8
217.3,-2.774,187.7
227.4,-3.599,160.2
217.1,-2.421,197.4
226.4,-3.153,154.7
219,-3.685,159.7
226,-3.616,146.7
209.3,-3.366,122.1
222.8,-2.817,154.6
221.4,-3.561,129.2
222.6,-3.513,138.8
217.8,-3.439,107.4
219,-3.269,161.6
222.4,-3.645,127
220.6,-3.395,146
225.6,-4.002,96.16
225.8,-3.19,168.9
219.2,-3.282,142
217.2,-3.452,137.5
222.6,-3.453,129.8
219.6,-3.003,111.4
220.2,-3.348,178
222.4,-3.562,181.8
216.3,-3.481,105.3
226.6,-2.666,144.6
224.4,-2.786,183.4
224.5,-3.388,150
228.3,-3.206,163.3
207.5,-3.399,170.7
220.2,-3.122,162.4
220.2,-3.843,123.7
226.9,-3.559,118.2
214.9,-3.513,182
230.7,-3.286,175.4
220.8,-3.431,171.7
214.1,-4.239,140.1
216.9,-3.105,123.2
224.8,-3.932,184.1
221.5,-2.72,181
224.1,-3.094,170
213,-4.079,118.2
215.7,-3.097,167.5
220.3,-3.398,167.1
221.3,-3.78,141.7
215.1,-3.825,129.2
221.6,-3.968,133
234.8,-2.462,198.4
227.1,-3,157.9
213.8,-3.357,149.6
225.5,-2.745,172.4
217,-3.35,156.4
221.3,-2.746,124.5
224,-2.951,185.4
218,-3.777,185.9
220.3,-3.528,134.4
231.1,-3.347,155.8
223.3,-2.57,171
228.8,-3.187,215.5
219.8,-2.697,172.4
219.2,-3.225,165.5
223.4,-2.922,136.3
222.5,-3.769,76.27
213.7,-4.312,85.48
217.2,-2.929,136
225.2,-3.867,180.6
230.8,-3.821,243.2
220.8,-3.584,178.2
221.5,-2.51,179
220.2,-4.239,110.2
222.8,-3.722,185.3
219.7,-3.767,116.6
214.2,-3.123,211
223.3,-2.809,171.9
227.1,-2.37,151.8
214,-3.438,167.8
221.5,-4.072,85.72
218.9,-3.07,149.5
225.8,-3.592,167.3
225.1,-4.192,123.3
215.4,-3.697,129.7
215.1,-3.178,178.7
220.8,-3.5,158.6
224.3,-3.821,117.6
216.5,-4.124,147.1
218.4,-4.109,136.1
210.7,-3.85,152.4
215.5,-3.196,138.5
224.4,-2.892,223.2
224,-3.492,158.5
223.2,-3.422,137.8
221.8,-3.551,164.4
223.8,-3.141,176.1
217.2,-3.943,106
213.4,-3.575,125
218.9,-3.164,174.8
220.4,-3.282,152.1
225.1,-3.647,138.4
226.3,-2.987,158.4
216.7,-2.966,135.5
220.3,-3.352,203
224.7,-2.982,128.4
220.1,-2.223,219.4
210.3,-3.43,130.8
219.3,-3.238,123.2
223.8,-3.08,199.5
213.7,-2.496,202.3
214.7,-3.203,170
213.8,-3.307,111.8
221.5,-2.787,126.6
218.2,-3.654,149.9
216.9,-3.141,78.59
237,-3.584,170.7
221.8,-3.647,125
215.1,-3.39,183.6
213.6,-2.632,149.5
213.3,-3.025,157.3
217.2,-3.146,232.6
226,-2.661,154.2
227.9,-4.138,173.8
219.8,-4.192,122.4
218,-3.469,165.3
225,-3.75,154.7
217.8,-3.403,137
215.1,-3.592,131.4
228.3,-3.655,122.1
219.2,-2.807,143
226.9,-3.038,169.5
229.5,-2.718,149.3
220.5,-2.953,129.8
218.6,-3.436,85.73
218.9,-3.017,174.7
215.9,-2.953,218.3
217.5,-3.942,160.5
223.3,-2.545,151.1
226.8,-3.256,191.7
217.3,-3.018,206.1
219.6,-2.828,163.2
217.7,-3.715,156.9
219.6,-2.893,168.4
220.8,-3.751,108.6
224.2,-3.638,160.5
218.8,-3.256,148.5
217.6,-3.017,166.1
222.5,-3.353,143.2
216.7,-3.88,212.2
225.1,-2.693,178.7
216.3,-2.578,180.5
219.8,-3.27,138.4
222.7,-3.135,109
226.3,-3.301,180.7
218,-3.148,128
221.1,-3.802,203.6
228,-3.576,197.7
222,-3.599,173.7
223.9,-3.393,181.8
216,-3.663,138.1
221.5,-2.481,194.9
223.7,-2.526,144.7
218.5,-4.228,163.2
218.2,-2.719,166.3
225.8,-3.149,146.2
222,-3.21,177.4
222,-3.49,197
220.2,-2.935,202.5
217.8,-2.959,179.8
230.4,-3.492,214.8
211.4,-2.176,201.9
224.2,-3.383,177.3
233.3,-2.576,143.4
226.5,-3.327,159.2
218.6,-3.698,140.4
216,-3.637,155.2
218.4,-3.69,120.3
223.3,-2.64,156.5
224.7,-3.673,166.5
227.5,-3.836,158.7
226.3,-3.946,156.9
219.6,-3.719,146
225,-3.206,158.8
221.6,-3.553,180
218.9,-4.317,143.3
210.5,-3.205,110.7
218.7,-3.535,183.1
224.5,-3.364,229.1
218.4,-2.637,185.9
233.1,-3.06,161.1
213.9,-2.519,169.9
212.4,-4.023,79.22
217.7,-3.023,159.4
217.8,-3.914,176.8
224.4,-3.43,169.7
219.5,-3.79,153.1
224,-2.847,216.2
228.4,-3.381,168.3
230.4,-3.014,178.3
216.9,-3.668,155.2
226.1,-1.92,190.5
214.9,-3.933,140.8
233.3,-2.893,166.3
218,-2.442,184.2
218.1,-3.285,147.6
219.8,-3.502,147
226.7,-3.291,117.7
218.1,-3.896,169.7
218.4,-4.705,74.92
228.8,-4.002,166.9
212.6,-3.961,164.7
213.9,-3.047,137.9
217.6,-2.74,112.4
226.6,-2.84,165.3
223.7,-3.399,157
216.9,-3.552,136.5
220.9,-3.585,123.6
219.7,-3.068,119
235.5,-3.579,179
226.1,-3.454,98.23
222.9,-4.188,163.9
220.1,-3.43,188.2
222.9,-3.489,160.4
220.3,-2.901,158.9
224.1,-3.609,163.4
213.1,-4.047,187.1
224.9,-2.247,222.9
226,-3.548,166.6
216.4,-3.637,118.4
230.3,-3.935,115.3
221.8,-3.33,134.1
215.3,-3.463,94.44
218.4,-2.99,147.7
221.8,-3.478,155
216.3,-3.123,109.5
229,-4.004,206.6
219.3,-4.307,156
223.9,-2.533,181.4
223.7,-2.847,175.4
221.8,-2.917,195.3
219.7,-3.518,179.6
221.3,-3.502,156.1
221,-3.392,133.2
229.4,-3.567,168.8
213.6,-2.848,147.2
217.5,-2.891,139.3
223.1,-3.952,156.3
229.5,-3.725,147.4
224.1,-3.881,170.3
217.8,-3.209,174.9
215.7,-3.366,110.3
215.4,-3.238,154.4
221.3,-2.872,141.5
217.6,-3.134,113.4
219.8,-2.722,159
222.8,-3.952,109.1
218.5,-3.201,132.2
221.6,-3.394,154.4
223.4,-3.667,152.8
226.1,-3.096,159.7
221.1,-3.682,98.13
222.2,-3.685,128.3
220.4,-3.625,185.7
222.1,-3.649,158.5
222,-3.551,174.7
220.9,-2.494,141.2
225.3,-3.643,104.2
212.9,-2.835,156.6
234.4,-2.597,204.4
211.5,-4.268,144.1
216.7,-3.645,160.5
214.2,-3.019,166.4
215.2,-3.073,154.3
220.3,-2.884,179.6
219.9,-3.536,176.8
219.5,-3.097,116.3
216.3,-3.654,174.9
224.5,-3.008,178.5
220.3,-3.641,128.2
217.3,-2.919,147.6
218.2,-2.941,167.3
225.9,-3.312,190.7
224.5,-3.578,146.3
225.6,-4.024,130.1
218.3,-4.5,166.4
223.1,-3.033,156.1
224.4,-3.492,134.1
218.9,-4.693,117.6
230.7,-3.424,136.9
223.9,-3.326,174
217.7,-3.391,172.3
216.1,-2.807,183.6
214.2,-2.879,175
219.9,-3.089,172.3
216.5,-3.281,144.3
215.4,-2.453,138.7
223.7,-3.157,156.9
224.1,-3.029,158.2
227.1,-3.304,139.8
218,-3.706,159.8
211.9,-3.79,102.9
219.4,-2.972,186.3
220.4,-2.963,141.4
223.2,-3.195,141.1
219.3,-3.334,175.8
226,-3.234,126.6
225.9,-3.236,127.3
210.9,-2.613,134.5
224.3,-2.838,196.7
221.6,-3.332,110.5
224.7,-3.451,199.3
216.7,-3.719,175
217.5,-2.72,200.6
212,-4.7,99.68
220.4,-3.061,183.1
210.9,-3.138,163.1
221.2,-3.546,135.5
230.1,-2.984,145.6
221.3,-4.508,156.5
228.1,-3.224,204.7
226.2,-3.517,178
223.4,-3.009,143
216.3,-4.097,118.2
220.2,-2.215,152.7
220.2,-3.665,109.3
219.6,-3.812,111
219.9,-3.251,118.5
217.2,-3.473,125.2
219.2,-3.253,153.3
230.7,-3.46,172.2
216.1,-3.601,125.2
220.2,-2.83,182.7
230.8,-3.077,103.2
223.7,-2.517,213.2
218.6,-3.046,207
217.5,-2.803,130.9
215.2,-2.41,96.89
208.9,-2.5,205
221.1,-3.062,167.4
219.5,-3.772,154.8
222.9,-3.748,174.8
218.9,-3.083,95.17
215.8,-2.631,198
216.4,-2.364,144
223,-3.609,194
222.5,-3.817,83.78
225.3,-4.02,229.5
223.9,-4.061,169.9
215.2,-3.321,126.1
221.5,-3.221,99.47
217.6,-2.681,193.7
219.5,-4.158,114.5
214.3,-3.613,157
229.2,-3.096,155.5
211.9,-2.733,209.9
217.7,-3.77,141.9
228.5,-3.089,173.5
213.3,-3.938,160.1
217.4,-4.409,176.4
220.8,-3.656,163.1
223.6,-2.918,192.7
218.8,-3.577,90.37
227.2,-2.656,171
211.4,-3.946,143.2
216.2,-2.585,170.6
226.9,-3.147,121.5
216.2,-2.951,168.8
219.3,-2.931,130.6
225.1,-2.678,194.4
223.9,-3.975,131.9
213.4,-3.44,174.7
227,-3.07,153.9
218,-2.407,154.8
217.9,-2.733,183.8
219.8,-2.491,150.9
220.3,-2.964,90.29
226.2,-3.54,108
231.3,-2.979,216
213.1,-3.426,148
216.7,-4.189,166
230.6,-3.232,143.9
206.9,-2.657,121.1
224.6,-2.923,132.3
233.7,-1.959,99.93
225.9,-4.311,112.3
219.4,-3.653,144.3
218.1,-3.196,116.9
224.7,-2.681,176.6
214.4,-2.708,151.9
223.7,-3.569,162.6
224.7,-2.864,185.8
218.3,-3.148,193.5
221,-3.46,180.9
215.3,-3.636,146.3
223.1,-3.353,150.1
217.6,-3.507,159.5
218.2,-3.213,172.3
217.1,-3.817,125.9
211,-2.432,171
222.3,-3.486,146.8
221.2,-2.915,148.3
221.9,-3.189,130.7
220.2,-3.337,185.6
224.8,-2.826,193.5
218.3,-4.419,121.2
222.2,-3.257,109.8
211.1,-3.449,194.8
210.5,-3.019,163.1
219.3,-4.188,99.58
223.3,-2.779,177.2
220.3,-3.441,124.6
218.5,-3.196,171.4
220.3,-3.923,133.5
222.7,-3.1,118.4
222,-3.406,181.5
224.6,-2.858,146.8
218.8,-2.891,200.4
215.2,-3.898,205.8
223.5,-3.589,166.1
217.4,-3.714,147.9
222.8,-3.451,172.4
222.7,-2.253,202.4
226.2,-3.237,160.4
222.3,-2.335,176.8
225.9,-2.607,210.8
214.1,-3.232,113.7
213.8,-4.044,151.8
212.1,-2.816,141.8
214.3,-3.837,125.9
224.5,-2.299,186.8
217.8,-2.417,145.3
213.8,-3.203,122.2
218.1,-2.581,203.8
219.9,-3.509,178.5
214.6,-2.57,167.6
220.5,-2.313,219.5
219.1,-2.445,210.9
212.4,-3.49,160.5
224.1,-2.902,180.9
225.3,-2.666,194.6
218.6,-3.191,219.6
223.2,-4.238,95.91
217.9,-3.011,155.4
208.8,-1.896,237.1
228.5,-3.421,208.5
211.1,-3.132,114.9
222.7,-3.779,138.9
208.9,-3.236,125
211.5,-3.518,199.1
214,-3.059,158.5
216.7,-3.23,142.6
220.2,-3.522,142.4
212.1,-3.21,103.5
214.7,-2.932,136.4
217.7,-2.867,175
226.1,-3.128,172.4
215.7,-3.46,141.4
224.5,-3.428,182.5
212.2,-2.917,124.6
210.8,-3.628,155.3
226.6,-3.523,177.2
218.7,-3.136,128.7
217.8,-2.931,157.5
217.4,-3.726,126.8
232.9,-3.022,144.5
216.7,-3.555,173.8
220.7,-3.083,151.5
222.1,-5.106,80.68
213.3,-4.259,124.9
230.1,-3.096,213.6
221.5,-4.01,117.4
219.8,-4.671,109.3
228.7,-4.318,112.7
212.7,-4.062,132.5
227.8,-4.624,183.9
224.7,-3.154,149.2
219.5,-3.706,103.1
215.6,-3.629,158
218.5,-3.272,123.1
224.6,-3.18,182.3
232.9,-3.068,215.3
220.9,-3.202,144.7
222.6,-3.621,130.8
222.8,-4.051,152.3
217.4,-3.935,122.1
214.6,-4.159,81.56
226.1,-3.646,111
217.5,-4.275,141.2
215.5,-3.026,146.3
217.7,-3.497,130
220.8,-3.204,151.2
218,-3.261,129
230.2,-2.516,183.3
215.8,-3.855,203.1
206.8,-2.915,166
224.7,-2.501,167.8
212.4,-3.488,140.3
208.4,-3.444,143.4
215,-2.985,144.1
221.1,-3.032,150.8
220.8,-3.758,138.4
224.4,-2.807,198.7
215.7,-3.098,133.3
213.5,-2.906,137.6
217.4,-3.448,212.3
224,-2.691,203
231.9,-3.035,160.9
222.7,-2.74,212.8
218.5,-3.754,163
220.5,-2.306,185.7
222.8,-3.642,152
214.4,-3.97,119.2
226.9,-3.617,157.9
226.3,-3.07,172.4
216.9,-3.562,163
211.3,-2.67,168.3
227.7,-3.29,204.8
223.8,-2.876,200.8
224.2,-2.878,165.2
217,-2.776,161
222.6,-3.452,160.4
218.5,-3.303,195.6
220.1,-3.533,112.7
222.1,-3.141,167.5
218.8,-4.088,200.6
232.2,-4.066,113.8
218.4,-3.866,129.6
220.8,-3.497,170.4
227.7,-2.699,167.5
219.4,-3.033,95
215.4,-3.175,129.2
222.5,-2.848,182.4
225.7,-2.878,194.2
211.2,-2.885,155.1
222.6,-3.525,170.4
217.3,-3.409,162.7
227.5,-2.846,122.4
224.6,-3.229,172.1
223.7,-3.07,166.6
216.7,-4.004,151.1
214,-2.924,214.9
222.2,-3.308,176.1
218.5,-3.464,129.3
214.7,-2.922,126.8
218.2,-2.677,99.5
222.6,-3.794,172.4
213.8,-3.652,114.4
225.9,-2.948,145
211.9,-3.294,201.9
224.1,-3.244,150.7
214.9,-3.561,115.6
216.6,-2.823,116.5
224.9,-2.981,98.47
221.1,-3.135,155.1
221.8,-3.46,163.4
212.1,-3.306,175
221.6,-3.144,138.5
220.4,-3.273,197.7
224.2,-3.412,155.2
212.4,-3.922,172.4
218.9,-3.914,111.7
210.7,-3.475,118.9
228.4,-2.303,139.7
222,-2.663,146.4
219.1,-3.327,169.6
220.3,-3.528,119.9
217.5,-1.547,219.8
220.6,-2.753,201.9
219.2,-4.482,116.9
217.3,-3.827,168.5
223.7,-3.287,136.6
219.1,-1.965,187.5
209.9,-2.765,136.8
223.1,-3.618,122.2
215.3,-2.073,185.4
223.1,-2.706,180.1
222.6,-3.837,145.3
222.3,-3.496,172.3
220,-3.591,137.3
225.4,-3.611,152.6
225.2,-4.125,90.54
218.7,-3.435,212.3
216.9,-2.725,169.5
225.3,-2.963,152.9
217.1,-3.478,142
216.7,-2.859,141.8
225.8,-3.064,203.6
209.2,-3.757,143.3
226.4,-4.086,178
223.5,-3.119,159.3
214.1,-3.738,153
220,-3.527,155.7
217.7,-2.763,112.3
217,-3.151,85.74
217.2,-2.938,191.2
223.3,-4.169,122
221.7,-3.076,174.3
219.2,-3.42,152.6
228.8,-3.894,168.6
226.4,-2.985,114.6
215.5,-3.559,106
212.4,-3.558,139.7
220.2,-2.504,161.1
227.2,-4.649,111.9
215.5,-3.672,135.1
223.8,-2.79,88.79
