beta0,beta1,yp
218.9,-3.726,101.9
219.5,-3.407,151.3
226.2,-3.05,161.7
218.5,-3.011,174.2
216.7,-2.99,160.5
229.8,-3.657,138.3
211.5,-3.628,151.3
224.7,-4.169,141
225.4,-3.148,166.2
217.8,-3.599,177.3
222.4,-3.788,220.3
219.9,-3.348,151.3
230.5,-3.524,137
223.3,-3.398,178.4
219.2,-4.024,152.5
219.8,-3.02,215.6
225.8,-4.041,189.3
223.3,-3.612,105.2
218.7,-3.928,138.3
221.4,-3.78,122.8
228.4,-2.995,185.2
223.1,-3.543,206.3
216.7,-3.489,177.3
220.5,-2.984,174.6
222.2,-3.234,145
224,-3.598,193.9
224.1,-3.614,146.9
228.8,-3.221,139.3
225.8,-3.514,152.2
222.1,-2.766,173.4
216.8,-2.303,177.9
222.3,-3.123,148.7
219.4,-3.377,203.4
221.4,-3.577,172.3
220.5,-3.65,157.6
219.5,-3.647,155
218.6,-3.756,167.7
224,-3.493,133
231.2,-3.858,165.6
220.6,-3.407,144.4
226.5,-3.212,159.5
227.4,-4.03,127.5
218.9,-3.162,138.6
221.6,-3.674,110.8
223.3,-3.048,139.9
214.9,-3.267,183
226.6,-3.206,156.2
224.3,-3.646,167.9
214,-2.327,147.9
207.9,-2.851,149.9
217.1,-4.207,172.1
212.7,-2.805,130.2
222.2,-3.2,162.4
212.3,-2.834,192.4
226.8,-3.225,202.3
229.8,-3.203,112.2
232.2,-3.844,179.2
223.5,-3.222,177.5
222.2,-3.78,147.8
221.8,-4.225,151.7
218.1,-3.299,193.5
211.9,-2.145,161.5
225.5,-4.125,170.3
222.6,-3.003,158.7
215.4,-2.826,189.2
223.4,-3.512,118.8
229.2,-3.433,167.2
222.4,-3.445,154.4
223.4,-2.875,156
224.8,-3.54,128.4
223.1,-2.856,117.6
219.3,-2.613,133.7
216.7,-2.91,169.2
222,-3.631,109.3
216.5,-3.634,139.6
224.6,-3.075,181.3
224,-2.988,167.2
213.2,-2.644,154.9
216.8,-3.665,124.5
217.9,-2.976,117.8
211.1,-3.265,141.5
222,-3.977,154.6
218.6,-2.263,169.3
216.8,-2.791,150.6
221,-2.723,191.5
221.9,-3.145,137
218.4,-2.957,154.3
226.7,-3.281,190.4
220.3,-3.83,141.2
215.5,-3.647,80.27
222.9,-3.831,191.4
225.3,-3.144,176
219.6,-2.737,138.7
216,-3.546,182.5
220.6,-3.459,139.3
227.9,-3.185,143.9
227.7,-3.53,215.9
221.8,-3.648,163.2
212.9,-3.288,174.6
227.5,-3.647,141.5
213.7,-2.893,202.1
216.3,-3.152,139
221.8,-2.883,176.3
214.8,-2.81,181.8
228.5,-3.143,193.8
220.6,-3.978,155.9
220.8,-2.821,156.7
221.9,-3.561,143.8
226.7,-3.627,139.2
232.5,-3.096,194.9
215.3,-2.23,148.4
222.1,-1.829,190.7
224.8,-3.561,139
217.8,-3.445,157.9
212.2,-3.15,146
219.9,-2.992,189.5
216,-2.859,141.7
216.2,-2.928,180.6
224.5,-2.898,145.7
224.2,-2.849,233
219.3,-3.56,129.3
215,-2.804,171
226.9,-2.923,205.1
229.3,-3.473,169.8
221.5,-3.847,144.7
223.7,-3.471,115.3
212.6,-4.02,116.5
228.7,-2.807,181.4
225.7,-3.539,160.6
224.3,-2.429,229.6
222.3,-3.216,199.8
216.4,-2.815,135.2
222.9,-3.098,202
228.2,-2.563,186.7
226.6,-3.193,182.7
223.6,-4.481,146.4
222.8,-3.341,150.2
216.4,-3.178,119.1
217.1,-3.312,163.9
215.9,-2.792,165.3
225.4,-3.718,158.8
221,-3.112,220.2
214.8,-3.62,158
220.2,-3.587,103.7
219,-2.297,162.6
231.1,-3.385,188.3
219.4,-2.314,191
224.8,-2.452,190.5
218.6,-3.51,126.4
223.2,-3.265,159.6
217.1,-2.48,175.1
222,-2.403,197.9
213.2,-3.392,91.58
217.5,-4.14,121.5
214.1,-2.304,184.9
227.1,-3.356,133.1
216.4,-3.784,176.1
234,-3.383,116.5
213.1,-3.225,130.5
219.5,-4.014,178.5
221.7,-3.438,213.1
212.7,-3.81,116.8
217.4,-3.069,166.6
228.7,-3.226,182.1
222.7,-2.71,166.1
219.6,-3.543,185.2
218.6,-3.062,137.1
217.4,-2.976,179.3
221.1,-3.724,187.2
227.8,-2.67,200.6
210.6,-1.994,188.6
215.7,-2.671,131.2
229.9,-2.914,152.2
214.1,-3.838,159.1
216,-2.97,196.7
217.3,-4.366,170.7
221,-2.759,168.5
217,-3.589,118.5
224.2,-3.588,175.2
222.5,-2.729,104.8
219.2,-3.446,195
223.8,-3.322,99.42
215.8,-3.059,122.5
216.9,-3.24,124.9
222.6,-3.278,116.7
225.8,-2.395,163.1
216.3,-3.86,110.9
220.9,-3.021,170.4
221,-2.925,162.3
214.9,-3.203,163
216.7,-2.654,196.5
217.7,-2.852,134.3
223.6,-3.727,203.9
229.9,-3.065,206.1
215.4,-3.209,180.3
224.5,-3.095,148.6
225.8,-3.004,187.7
221.6,-3.806,89.64
221.8,-4.189,151.8
215.2,-3.896,133.2
221.7,-3.478,162.5
213.3,-2.736,162.6
216,-3.007,136.1
220.1,-2.918,138.6
220.1,-2.285,198.6
221,-3.423,178.5
216.4,-3.103,146.4
227.4,-3.547,143.7
215.1,-3.304,173.5
239.3,-3.314,207
217.2,-2.87,169.8
220.3,-2.911,123.3
226.5,-2.656,147
227.2,-3.678,86.86
228.9,-3.261,169.7
210.3,-3.163,131.5
219.8,-3.381,142.5
217.4,-2.82,110
225.1,-4.222,160.4
219.9,-3.618,159
223.3,-3.028,156.8
223.5,-3.757,146
218.8,-4.084,147.9
221.6,-3.244,123.4
224.4,-3.577,143.5
222.1,-3.27,161.5
222.2,-3.365,144.4
221.5,-3.961,163.4
218.3,-3.875,154.4
216,-2.865,120.6
226.1,-3.795,117.9
227.3,-3.54,88.61
220,-3.467,148.7
221.1,-3.36,110.6
223.1,-3.498,131.7
226.8,-3.339,186.3
223.1,-3.469,184.1
226.3,-2.628,202.2
225.4,-2.86,125.4
215.6,-2.758,214.1
227.4,-3.108,195.2
221.5,-2.911,181.9
223.2,-3.162,195.5
224.4,-2.936,164.5
225.5,-3.31,199.1
224.9,-2.469,163.8
227.7,-4.871,140
219.1,-2.988,165.7
216.6,-3.424,117.5
217.1,-3.28,200.8
224.6,-2.608,201.7
217.7,-3.74,137.3
226.2,-2.345,225.3
221.8,-2.939,160.2
226.5,-2.428,127.9
219.8,-3.996,126.9
229.2,-3.744,180.5
226.7,-3.258,178
221.3,-2.71,205.1
226.7,-3.104,167.7
215.8,-2.782,216.4
223.3,-2.652,161.2
214.7,-3.82,128.5
205.2,-2.979,135.2
217.9,-3.95,110.4
218.2,-3.069,160.2
229.8,-4.305,139.3
216.1,-3.332,199.3
228,-3.217,170.5
224.8,-3.553,149.2
224.2,-3.305,161.3
222.4,-3.256,217.1
216.2,-2.617,165.4
224.2,-3.516,114.6
221.1,-3.23,153.4
221.3,-3.737,89.06
231.9,-3.041,168.8
220.9,-2.98,132.7
220.6,-3.297,170.7
216.1,-3.275,148.8
221.3,-2.752,151.3
217.9,-3.921,137.1
224.1,-4.379,142.7
223.9,-2.762,139.1
225.3,-3.715,133.9
218.2,-3.816,138.8
221.6,-2.986,223.9
220.3,-3.805,128.7
226.8,-3.811,151
228.3,-3.484,150.1
224.2,-2.389,215.5
226,-4.235,120.8
215.8,-3.568,163.2
230.8,-3.156,212.6
216,-3.381,145
220.9,-2.626,135
221.8,-3.307,137.1
218.1,-2.844,172.8
223.3,-2.752,188.1
227.8,-3.574,129.5
225.9,-3.055,118.4
212.4,-3.478,140.5
220.2,-3.413,128.5
219.3,-2.831,128
219.3,-3.553,167.4
228.8,-3.853,182.4
223.6,-2.995,121.5
230.3,-3.408,127.5
212.1,-3.992,165.1
229,-3.663,158
218.2,-3.338,158.7
227.5,-3.061,161.7
215.6,-3.495,126.5
216.1,-3.172,136.7
215.4,-2.987,167.3
211.4,-3.641,148.7
214.6,-5.011,121.6
213,-4.071,186.6
220,-2.256,179.1
219.2,-2.58,160.9
222.8,-3.334,131.1
226.6,-2.803,181.1
220.5,-2.44,174
226.4,-2.877,160.7
218.4,-4.349,78.06
221.9,-2.53,158.6
220,-3.423,148.7
214.3,-3.915,130.5
229.3,-2.899,155
214.5,-4.481,150.4
224.7,-3.745,173.7
215.8,-3.086,157.6
216.7,-3.666,168.7
229.8,-3.548,169.3
211.9,-3.226,153.9
219.6,-3.965,141.8
230.9,-3.187,187
224,-4.137,137.6
220.4,-3.6,178.2
225.8,-3.496,201.5
230.6,-3.173,174.6
218.1,-3.367,120
228.1,-2.526,217.3
229.3,-2.964,166.9
216.1,-4.347,83.15
216.1,-3.644,180
209,-3.288,164
222.6,-2.639,171.7
218.3,-3.628,200.2
222.8,-3.874,50.29
219.8,-3.448,139.9
217.7,-3.318,124.8
222.7,-3.18,186.7
219.8,-3.419,166.2
217.6,-4.047,124.5
222.6,-2.643,157.6
218.7,-3.293,203.6
210,-3.14,145.4
216.2,-3.82,111.6
224,-3.154,201
217.8,-2.621,208.7
215.5,-4.274,173.3
216.3,-3.598,158.9
217.8,-2.861,151
220.6,-3.532,158.6
217.9,-3.207,133.1
214.3,-3.298,125.4
215.6,-3.332,168.7
226.4,-2.202,132.4
222.2,-4.613,98.58
223.2,-3.505,175.5
217.6,-3.361,176.1
211.2,-3.105,177.2
217.2,-3.093,184.5
228.4,-3.073,137.6
218.7,-2.832,165.8
224,-2.944,175.5
220.4,-3.28,150.9
221.5,-3.587,165
222.2,-2.747,151.9
223.8,-3.816,128.7
217.7,-4.305,143.3
223.3,-2.645,152.3
218.4,-2.961,150.3
217.7,-3.022,164.5
223.7,-3.518,202
220.4,-3.134,157.8
218.9,-2.24,119.8
228.8,-3.137,201.1
229.9,-3.745,118.9
222.3,-2.392,160.8
223.6,-3.009,166.7
225.5,-2.712,233.9
216.6,-4.647,121.3
224.6,-1.947,163.9
214,-3.131,178.3
224.4,-2.973,167.9
218.4,-3.092,138.1
211.3,-2.415,189.7
212.8,-3.665,125.7
224.3,-3.089,187.9
223,-3.409,142.6
217.8,-3.329,161.4
231.4,-3.4,187.9
220.8,-2.898,144.5
215.3,-4.043,173.6
217.1,-3.384,134.6
225.6,-3.602,147.9
223.4,-3.431,137.3
223.9,-2.817,225.2
217.6,-3.173,169.3
225.1,-3.073,142.2
226.9,-3.085,121.1
217.7,-3.062,190.3
224.3,-3.469,163.2
221.9,-2.998,140.7
225,-2.945,154.6
228.1,-3.99,167.8
225.3,-2.733,205.1
221.3,-3.367,180.5
224.8,-3.665,168.6
220.9,-3.513,143.7
218.8,-3.381,110.5
218.2,-3.26,116.2
219.7,-4.061,161.8
230.3,-3.157,183.4
226.5,-2.879,165.1
221.2,-3.184,156.1
220.9,-3.906,168.8
212.8,-2.713,193.2
222.5,-2.485,166.1
210.9,-2.728,186.9
221.4,-3.371,219
225.7,-3.714,126.9
228.3,-3.041,185.5
217.7,-3.085,109
216.7,-3.967,182.6
222.3,-3.14,186.6
219.7,-3.225,191.1
233.1,-2.449,172.1
221.2,-2.541,205.8
221.2,-2.149,268.2
221.2,-4.679,87.71
216.4,-3.545,171.2
219.1,-3.137,113.1
225.7,-2.308,158.5
216.7,-3.798,194.5
228,-3.229,187.1
215.4,-3.1,140.4
215,-3.804,120.7
209.8,-3.632,113.2
229.5,-2.689,176
229.8,-3.422,155.1
218.8,-3.561,143.1
213.5,-3.613,127.1
217.1,-2.624,176.3
222.1,-3.652,200
222.5,-3.227,133.1
212.3,-4.013,152.9
223.9,-3.252,151.9
228.3,-3.233,149.9
216.9,-2.823,113.6
227.1,-3.611,159
224.8,-3.491,221.7
219,-3.838,172.1
216.3,-3.566,170.4
212.7,-4.248,194
232.8,-3.147,192
226,-3.35,125.3
218.7,-3.295,149.3
225.5,-3.645,187.3
217.9,-3.96,116.9
218.8,-3.226,181.9
224.5,-3.442,171.6
225.9,-4.223,152.3
217.8,-2.803,191.8
224.6,-2.342,229.8
223.1,-2.211,182
214.3,-2.11,180.6
208.9,-3.432,133.8
221.3,-3.89,130.3
222.9,-2.692,171.6
221.7,-2.027,171.7
228.2,-3.879,177.9
221.3,-3.047,177.8
222,-3.363,142.1
229.1,-3.054,175.4
213.1,-3.732,161.7
220.9,-2.949,172
221.9,-3.786,163.8
215.1,-3.653,139.2
213.3,-2.972,119.9
222.3,-3.692,178.3
218,-2.56,143.2
224.9,-3.501,99.16
227.8,-2.3,211.5
209.8,-3.116,123.1
220.6,-2.855,136.7
226.9,-2.793,144.7
224,-4.279,119.8
222.5,-4.216,140.1
221.3,-2.13,214
212.9,-3.083,195.1
220,-2.659,104.4
214.4,-3.088,148.3
216.2,-2.813,156.8
222.3,-3.418,155.5
217.9,-3.737,116.5
220,-3.324,135.4
221.5,-3.293,153.8
229.8,-2.346,188.2
224.8,-4.054,119.7
230.6,-4.154,187
210.3,-3.329,144.3
220.9,-3.433,185.9
222.5,-3.603,159.2
217.6,-3.466,165.3
214,-3.872,109.7
216.7,-2.431,161.2
229.1,-2.468,164.5
224.2,-3.634,146.8
214.7,-4.506,139.2
213.7,-2.646,191.2
220.2,-3.351,235.5
217.8,-2.933,159
220.5,-3.704,122.9
212.9,-2.971,110
220.9,-3.195,148.6
222.4,-3.837,166.5
219.6,-3.752,131.7
219.6,-3.994,168.9
216.9,-2.425,108.3
224.3,-2.425,161.9
219,-3.569,194.7
221,-2.815,187.7
227.4,-3.52,142.7
217.1,-4.209,123.4
215.5,-3.17,136.6
227.7,-3.633,112
211.4,-3.182,143
216.6,-2.454,178.9
212,-3.213,157.2
225.3,-4.065,104.3
219.5,-3.63,109
224.7,-2.552,187.4
222.4,-3.813,186.3
218.5,-3.575,185.9
217.7,-3.106,186.5
224.9,-2.576,146.3
229.3,-2.928,126.5
217.8,-3.13,171.2
219.5,-3.362,159.7
225.9,-3.418,158.8
220.4,-2.892,170.1
227.7,-3.631,169.8
219.9,-2.252,186.4
222.2,-3.128,178
218,-4.278,148.7
227,-2.67,237.1
226,-3.349,151.8
217.6,-3.624,144
220.3,-3.564,125.5
230.4,-3.559,175.5
216.7,-4.161,115
218.9,-3.516,178.4
218.5,-2.983,165
214.9,-2.964,188.6
216.5,-3.181,172.6
216.5,-2.594,157.4
222.6,-3.883,116.9
226.1,-3.636,145.9
219.9,-3.178,168.7
220.2,-2.978,160.2
220.3,-3.669,178.2
215.9,-2.98,162.1
217.7,-3.688,186.9
227.8,-2.672,209.1
230.2,-2.689,168.6
225.5,-3.711,170.8
222.3,-3.272,190.6
217.8,-3.436,143.6
220.9,-2.737,187.1
224.1,-2.526,205.1
219.1,-3.383,114.2
218.5,-3.604,148.4
218.5,-3.771,203.3
217.5,-4.266,134.6
226.3,-3.778,165.9
221.4,-3.435,170.9
218.2,-3.657,179
218.2,-2.879,167.2
219.6,-3.882,173.7
217.8,-3.701,150.1
224.5,-3.749,121.3
223.5,-3.782,157.2
216.2,-3.028,141.6
230.1,-3.427,165.3
221.4,-3.405,161.8
221.6,-2.733,227.3
220.4,-3.144,124
226.5,-3.557,142.1
217.2,-2.501,176.7
224.9,-3.539,188.6
225,-4.28,126.4
223.1,-3.825,135.5
220.4,-3.713,155.4
219.6,-3.015,170.2
211.8,-3.687,125.3
212.6,-3.617,121.6
225.5,-3.431,189.4
219.3,-3.217,186.3
221.1,-1.884,160.1
226.9,-1.857,224.4
216.6,-2.946,196.6
214.4,-2.999,182.8
223.6,-2.693,168.7
218.6,-3.224,162.3
222.5,-3.401,188.6
225.6,-3.276,206.5
225,-3.219,123.5
223.4,-3.935,108.3
218,-3.903,194.5
212.9,-2.788,165
218.8,-1.814,172.1
226.6,-3.309,172.9
228.5,-2.355,155.2
220.1,-3.791,194.1
230,-3.005,200
213.1,-3.435,117.6
220.4,-2.923,152.9
216.4,-3.038,155.3
211.9,-3.303,116.2
220.2,-3.324,174
222.7,-3.088,121.4
225,-3.718,116.1
220.3,-2.928,119.3
230.9,-3.081,228.8
219.4,-3.732,155.9
228.6,-3.237,169.8
224,-3.513,182.5
221.6,-3.091,147.5
224,-3.339,125.2
226.5,-2.732,179.3
216.9,-3.77,187.5
220.9,-1.998,174.3
219.1,-4.416,160.8
221.9,-3.685,140.7
217.5,-2.657,196.5
221.7,-4.042,113.2
219.4,-3.645,142
218.5,-2.262,213.9
217.1,-3.295,130.7
218.8,-2.897,161.9
218.5,-2.659,152.6
223.1,-3.527,104.3
220,-1.479,233.7
207.1,-3.187,83.94
223.9,-3.022,208
220.3,-2.81,190.1
214.4,-2.777,133.3
222.1,-2.628,141.8
224.9,-2.93,170.5
220.4,-3.143,178.6
223.9,-3.398,161.2
223.5,-3.888,82.17
220.4,-3.143,127.8
229.4,-2.903,111.4
231,-3.898,88.64
224.5,-3.475,158.1
222.5,-3.332,157.1
221.4,-3.137,191.4
221.3,-4.612,150.2
227.8,-2.765,189.6
220.2,-2.468,185.2
223.8,-3.085,187.7
228.9,-3.494,149.9
220,-4.287,131.5
234.8,-2.808,154.2
222.5,-3.894,193.7
225.4,-3.137,185.2
213.6,-3.585,97.87
218.4,-3.47,104.6
222.1,-3.736,178.3
222.9,-3.807,163.8
224.7,-3.302,116.7
225.9,-3.436,180.9
210.8,-3.357,193
224.1,-3.55,155.6
218.8,-3.954,97.45
225,-3.687,238.8
216,-3.889,138.8
217.8,-3.904,169.8
228.7,-2.458,176.6
220.6,-3.309,179.3
222.6,-2.446,166
222.9,-3.664,169.9
225,-2.886,172.3
220.8,-3.96,135.6
223.9,-4.056,104.6
211,-2.398,184
230.4,-3.27,202
219.2,-2.454,145.7
217.8,-2.203,148.6
222.9,-3.077,186.4
222.4,-4.164,164.4
222.9,-3.02,142.7
215.4,-1.924,172.3
221.3,-2.876,196.3
222.6,-3.137,162.4
229.5,-3.262,132.4
218.9,-3.372,122.5
221.1,-3.375,172.8
215.9,-3.026,188.6
222.5,-3.653,119.5
220.3,-2.63,164.7
219.2,-2.708,170.3
220.8,-2.901,151.7
220.2,-3.597,167.7
228.4,-3.616,167.8
221.9,-2.49,205.2
221.5,-2.349,171.6
226.3,-2.633,207
231.3,-3.977,161.7
220.7,-3.553,151.1
227.8,-3.176,193.9
217.6,-3.45,150.7
214.6,-3.65,142.4
226.2,-3.068,147.4
215,-2.697,166.8
212.7,-3.308,142.3
215.4,-3.655,126.9
224.6,-4.311,150.7
213.7,-4.029,132.8
231.3,-3.164,119.9
229.2,-3.454,142.7
225.7,-3.801,122.3
228.7,-2.911,171.7
226.7,-2.877,185.6
220.2,-3.56,153.9
220.7,-3.463,189.7
215.5,-2.706,131.2
225.5,-3.513,181.3
226.1,-2.711,170.4
219.2,-3.954,93.95
224.9,-3.346,172.4
218.8,-2.824,159.7
225.1,-3.196,184.5
229.3,-2.521,186.3
225.9,-3.542,169.1
219.3,-3.007,189.5
207.3,-2.538,176.1
221,-4.029,171.1
226.2,-2.498,210.1
207.1,-3.172,167.3
220.3,-3.358,176.6
221.8,-2.61,188.9
220.2,-4.127,141.4
220.9,-3.489,140
223.5,-3.182,127.5
210.3,-2.202,182.3
221.2,-1.776,197.2
217.3,-3.14,83.82
212.3,-2.877,144.6
218.3,-3.301,165.4
221.3,-2.923,147.8
223.3,-3.708,131.5
220.8,-4.334,130.6
225.9,-1.792,191
225.2,-2.878,150
225.7,-3.389,176.2
217.9,-2.309,182.1
224.7,-4.271,134.5
219.9,-4.078,157.3
224.8,-3.292,178
225.3,-3.212,186.8
220.4,-3.01,143
226.7,-3.115,172.4
222.8,-3.026,185.5
224.1,-3.876,141
222.6,-2.925,162.2
222.6,-2.857,138
213.9,-3.296,162.7
226.1,-2.528,198.8
217.5,-2.8,176.5
223,-3.042,151.7
217.4,-3.515,164.5
215.6,-3.472,224.8
214.1,-2.536,196.6
225.4,-4.178,157.3
215.9,-4.282,186.9
226.3,-4.291,71.23
223.2,-4.242,165
224.6,-3.612,208.6
222,-3.141,147.6
220.5,-3.064,152.9
224.8,-2.871,150.3
221.4,-3.391,160.6
212.3,-3.281,149.9
222.4,-3.194,139.1
229.9,-2.75,202.1
219.7,-3.271,155.1
227.4,-2.621,159.4
216.9,-3.7,126.6
212,-3.706,111.5
217.2,-2.398,207.3
226.2,-3.817,163.1
219.8,-3.475,178.8
218.4,-3.324,105
216.7,-3.391,156.2
222.6,-2.873,129.2
222.2,-3.9,126.2
222.7,-2.914,168.6
237.8,-2.594,187.5
216.8,-3.566,162.1
228.7,-1.927,221.2
220.8,-2.85,127.4
222.5,-3.311,150.1
212.5,-3.731,96.06
212,-3.226,189.7
221.5,-3.044,154.4
226.1,-3.33,164.9
218.6,-3.645,139
228.4,-3.158,141.6
221.1,-3.574,177.6
229.4,-3.225,162.6
228.7,-2.624,164.2
224.1,-3.324,209.8
214.2,-2.781,168.4
220.6,-3.331,130.7
214.1,-2.681,97.74
232.7,-3.727,151.8
231.2,-3.215,168.9
214.5,-3.886,136.7
219.8,-3.159,228.5
221.9,-2.563,160.3
217.7,-2.792,170.4
217.3,-2.736,194.3
219.6,-3.251,118.3
218.5,-3.799,136.7
222.9,-3.975,146.7
223.6,-2.401,182.7
214.6,-3.235,152.3
225.5,-3.257,156.1
222.8,-4.24,169.2
212,-3.265,103.7
229.2,-3.775,140
210.7,-3.414,131.9
228.2,-4.209,131
212.9,-3.471,150.6
220.9,-3.205,94.47
223.2,-3.898,166.8
218.5,-3.806,144.5
215.2,-3.059,173
224.7,-3.689,205.6
227.4,-3.272,137.5
219.4,-2.183,220.2
217.1,-3.932,157.3
219.2,-3.378,146.1
225.1,-3.003,147.3
211.9,-3.196,162.3
220.4,-4.594,132.3
227.3,-3.281,181.8
224.3,-2.668,163.9
224.6,-2.778,127.2
217.4,-3.351,122.9
225.8,-4.083,162.8
212.9,-4.022,235.1
226.7,-3.566,152.1
224,-3.362,184.4
214.8,-3.819,122.3
219.5,-3.382,155
227.6,-3.335,133.6
225.1,-3.734,141.1
223.9,-3.325,184.9
224.7,-3.833,176.2
224.4,-3.689,153.5
216.1,-3.282,144.6
215.2,-2.963,159.8
220.6,-2.765,164.1
219.4,-2.859,161
218.3,-3.164,122.9
229.8,-3.013,248.7
221.5,-2.986,144.4
220.5,-2.775,164.2
229.9,-3.062,147
224.4,-3.719,94.27
221.7,-3.795,151.4
211.6,-3.432,108.9
218,-3.228,151.8
225.8,-3.843,179.5
226.9,-1.933,165.5
214.7,-3.167,164.3
223.5,-2.645,230.2
216.2,-3.627,144.5
220.1,-3.266,172.3
218.9,-3.117,144.9
216.4,-2.498,165.3
215.8,-3.234,156.9
223,-3.538,152.9
207.9,-3.293,193.9
216.4,-3.493,149.8
222.9,-4.335,101.2
222.7,-3.44,149.9
227.4,-3.161,213.7
219.2,-3.466,167.9
217.2,-3.613,140.4
226.8,-2.773,185.7
225.6,-3.707,181.3
218.5,-2.845,219.9
210,-3.99,170.5
222.8,-4.325,149.6
219.5,-3.775,139.2
225.1,-3.611,146.8
209.4,-2.878,183.2
209.1,-3.645,131.5
221.9,-3.416,177
227.9,-2.611,216.7
224.4,-3.934,157.3
222,-3.872,127.2
213,-3.935,128.9
214.5,-3.708,160
221.2,-4.172,102.4
224.9,-3.512,184.9
216.7,-2.95,182.2
220.2,-3.66,205.2
217.1,-3.658,145.2
223.7,-2.992,139.8
219.7,-3.613,177.2
217.3,-3.844,186.5
222.5,-4.077,111.2
212.2,-2.961,170
223.7,-3.007,160.1
223.6,-3.542,125.2
223.3,-3.473,172.2
220.4,-3.077,121.1
219.7,-3.144,137
228.8,-4.694,115.1
224.9,-3.979,160.3
215.9,-3.238,190.2
223,-2.448,171.6
231.1,-2.574,166.1
214.7,-3.202,206.5
209.4,-3.973,103.6
207.4,-4.259,114.2
219,-3.875,167.1
219.4,-3.144,148.2
213.9,-2.891,151.6
217,-3.745,146.6
214.2,-4.311,159
221.6,-4.202,113.4
216.5,-3.974,135.8
215.3,-2.869,214.1
219.8,-3.662,124
218.3,-3.618,124
218,-3.739,142.8
215.2,-3.312,79.2
216.6,-2.956,112.7
217.1,-2.433,170.7
215.5,-2.922,147.3
213.8,-3.768,164.8
219.5,-3.302,184.4
231,-3.609,108.6
215.6,-3.233,123.5
216.4,-3.705,152.3
223.1,-2.646,171.4
217,-3.172,107.1
222.9,-2.853,133.9
215.4,-2.655,154.2
221.9,-3.557,154.6
220.5,-2.484,131.3
225.5,-3.816,155.5
217.7,-3.552,166.9
224.2,-3.367,165.1
218.6,-2.975,165.9
218.2,-4.654,63.85
219,-2.972,171.4
220.6,-2.95,143.5
231.6,-3.861,137.9
224.9,-3.477,159
211.5,-3.173,164.1
222.9,-3.655,122.2
215.3,-3.501,155.2
219.2,-2.293,154.6
227.5,-3.942,177.8
224.9,-4.013,180.3
222.7,-3.013,173.7
212.9,-2.945,161.1
227,-4.169,149.7
221.6,-3.442,85.76
219.8,-2.909,152.7
218.5,-3.781,134.4
221.4,-4.591,152.8
213.8,-3.473,177.5
215.5,-3.482,168.2
226.3,-2.909,92.54
214.8,-4.157,196.3
218.9,-2.646,181.6
223.5,-2.737,215.6
228.6,-3.095,166.2
221.8,-3.547,185.7
226.1,-4.379,150.5
224.6,-2.782,211.3
226.8,-3.429,153.9
220.5,-2.591,212.2
223.6,-3.162,123
236.3,-3,152
226.4,-2.261,154.3
226.6,-3.465,136.5
223.8,-3.303,99.45
225.2,-3.565,149.3
227.6,-3.721,161.3
226,-3.985,150.6
225.6,-3.024,141.3
217.1,-3.441,171.2
215.9,-4.385,92.19
218.1,-2.918,157.2
215.1,-3.198,114.4
222.8,-3.578,140.3
224.6,-2.83,225.5
214.1,-3.185,155.3
225.1,-2.994,173.8
223.5,-3.672,161.6
220.6,-3.127,143.6
222.7,-4.5,169.1
221.4,-3.704,157.2
221,-3.242,144.5
227.6,-2.774,196.9
219.2,-2.725,204.1
230,-4.477,139
224.5,-2.647,171.7
207.2,-3.315,96.4
215.6,-2.876,155.8
219.6,-4.54,170.9
218.3,-3.306,151.5
221.8,-2.729,142.7
225.7,-3.354,174.1
224.7,-3.89,116.8
221.8,-4.02,157.8
210.8,-3.269,112.4
218.6,-3.326,161.5
212.5,-3.225,158.3
222.7,-3.406,110.9
221.2,-2.102,181.3
219.6,-3.575,189.3
229.5,-2.884,170.8
216.8,-3.807,171.5
217.9,-3.202,126.6
214.5,-3.682,150
215.6,-3.783,124
219.4,-2.853,149.5
225.3,-3.427,141
224.5,-3.759,140.4
214.4,-3.371,141
233.6,-3.337,143
208.9,-2.964,128
229,-3.121,159.6
211,-2.009,119.2
211.5,-3.049,90.38
217,-3.451,108.9
221.6,-3.898,163.4
220.6,-3.419,192.6
231.5,-3.678,129.5
221.8,-3.071,123
212,-3.092,214.8
219.2,-2.991,142
219.9,-3.276,176.6
217.4,-3.254,114.9
218.1,-3.65,207.4
225,-3.257,129
218.3,-2.953,237.5
214.3,-4.16,61.28
222,-3.025,116.7
235.7,-2.659,223.6
225,-3.497,107.1
222.3,-3.459,123.8
223.4,-3.23,165.9
224.5,-2.695,189.5
217.5,-2.903,132
216.6,-3.389,167.1
216.9,-3.206,194
215.6,-3.476,159.4
229.2,-2.908,174.1
223.8,-2.977,156.6
222.4,-3.732,142.3
219.7,-2.182,169.9
220.9,-3.228,210.9
218.8,-2.558,184.7
226.1,-3.756,140.2
222.1,-3.135,209.1
222,-3.495,177.5
218.8,-3.951,118.5
211.5,-2.797,123.3
224.6,-3.218,210.6
203.5,-3.481,127
221.7,-3.71,156.1
224.1,-3.673,153.3
224.8,-2.717,193.2
223,-3.004,149.6
224.1,-3.631,137.1
215.7,-3.607,155.8
221.2,-2.753,168.9
212,-3.61,147.5
227,-3.175,156.6
221,-2.184,193.6
227.8,-3.39,157.8
217.6,-3.595,144.3
220.2,-3.247,167.3
227.5,-4.031,118.3
218,-3.404,171
