beta0,beta1,yp
223.1,-3.101,199.1
213.6,-3.578,194.3
217.1,-4.133,173.8
220.4,-2.889,160.7
218.6,-3.566,170.4
217.5,-3.901,128.6
223.5,-3.133,142
212.2,-3.421,167.3
224,-3.804,178.9
216.9,-3.142,160.1
220,-2.874,215.1
217.4,-2.927,184.9
224.3,-3.588,148.2
217.3,-3.436,109.1
214.6,-2.502,180.2
224.3,-3.748,115.1
216.9,-3.865,75.86
224.1,-3.264,177.9
217,-2.454,145
219.8,-3.573,135.3
222.5,-3.309,191.4
224.5,-3.414,161.7
220.7,-3.782,111.4
221.8,-4.15,148.9
226.4,-3.301,183.3
221.1,-3.29,162.4
218,-2.892,173.7
227.2,-3.589,98.94
214.9,-3.15,111.6
220.3,-3.054,196.9
214.9,-3.691,131.7
220.7,-4.107,124.2
220.6,-2.529,181.7
228.2,-3.277,85.6
222.3,-3.274,188.4
216.6,-2.433,153.8
215.4,-3.672,112.9
218.2,-3.787,117.9
217,-4.24,145.2
223.3,-3.141,183.4
223.6,-3.152,156.4
215,-4.057,115.5
218.8,-3.438,201
218.3,-3.237,135.7
221.5,-2.753,192.9
217.6,-3.507,48.02
213.9,-3.162,124.8
219.6,-3.452,123.1
222.5,-2.956,170.7
210.1,-3.901,173.1
224.3,-3.261,98.79
212.1,-3.506,180.9
221.6,-3.182,138.3
217.7,-3.084,188.4
226.1,-3.471,152.3
214.8,-3.767,113.1
219.8,-3.402,171
220.9,-3.024,190.3
214.5,-3.965,108.5
210,-2.867,208.9
234.1,-3.816,168.7
221.5,-3.406,139.9
222.7,-3.312,164.5
214.7,-3.622,75.98
223.8,-3.863,74.32
215.7,-3.505,120.7
213.4,-3.071,184.7
229,-3.132,133.9
217.4,-3.22,123.9
223.2,-3.242,133.8
225.8,-3.487,138.3
229.4,-2.512,209.6
222.9,-3.066,150.8
228.6,-3.498,171.4
226.7,-3.502,169
213.6,-3.58,135.2
224.8,-3.647,145.6
222.9,-3.412,143.4
217.7,-3.334,195.5
226.2,-3.577,226.3
220.5,-2.994,172.8
217.4,-2.946,216.4
232.2,-2.782,166.1
211,-3.097,149.8
223.1,-3.017,162.9
216.4,-4.025,137
218.6,-3.213,167.7
216.9,-2.457,178.4
217.4,-4.058,91.5
223.3,-2.461,221.5
223.4,-3.301,190
223.2,-3.07,155.5
213.5,-2.855,164.8
220.3,-3.378,117.8
215.6,-2.714,99.92
213.3,-3.102,178.6
220.1,-3.282,180.5
223.4,-2.823,159.9
211.2,-3.362,199.5
221.3,-2.846,118.1
217.2,-2.786,166.8
226.9,-4.067,209.4
222.1,-3.009,141
213.9,-2.649,207.4
212.1,-2.75,139.9
229.6,-2.899,244
218.3,-3.067,214
220.2,-3.372,159.1
222.6,-4.827,95.15
218.7,-3.428,127.9
220.2,-3.863,147
224.9,-2.911,222.1
217.1,-3.288,159.6
235.5,-3.891,156.9
228.9,-2.659,209.9
220.5,-2.725,129.1
216.3,-3.02,121.6
222.4,-4.3,116.2
215.6,-2.882,190.3
222.2,-3.691,136.3
219.8,-3.552,159.3
222.7,-3.573,168.6
222.8,-3.231,190.3
215.3,-2.597,165.1
217.9,-3.281,125.5
214.5,-3.732,122.9
225.2,-2.513,153.6
216.6,-3.131,100.8
223.6,-3.795,107.8
219.1,-3.637,184.9
219.8,-2.163,187.5
224.3,-3.373,133.7
232.8,-1.766,154.3
219.8,-4.193,141.3
230.5,-2.532,166.8
219.4,-2.934,187.6
219.5,-3.235,190.8
222.1,-3.332,114.9
223.6,-2.032,165.4
226.2,-2.669,169.4
214.5,-4.957,120.7
219,-2.442,217.5
223.1,-4.263,148.5
219,-3.097,190
216.1,-3.106,174.5
223.8,-3.351,184
224.2,-3.208,165.9
221.7,-3.719,136.5
228.5,-3.861,130.8
220.9,-3.845,127.2
217.9,-2.966,78.22
219.7,-3.641,165.8
227,-3.261,192.7
227.8,-2.182,167.3
218.3,-4.055,98.26
220.9,-3.194,140
219.8,-3.671,131.9
216.3,-3.201,146
215.6,-3.63,73.36
215.3,-2.709,140.2
217.9,-3.237,181.3
219.4,-2.96,185.9
223.8,-3.818,140.8
229.7,-3.247,198.2
219.4,-3.278,139.9
224.8,-3.165,165.6
223.8,-3.245,143.5
217.7,-3.363,154.2
213.1,-3.801,146.8
219.9,-3.619,151.6
223.6,-2.624,176.8
223,-2.262,195.1
220.8,-3.716,125.5
230.3,-3.649,139
219.9,-3.007,206.9
214.7,-3.483,171.2
216.4,-2.65,126.8
220.2,-2.943,111.8
223.6,-3.743,158.2
225.7,-3.498,150.6
212.8,-3.558,103.7
219.3,-2.783,210.5
220.8,-3.651,140.5
226.9,-2.294,154.1
221.4,-2.64,171
218.5,-3.785,153.8
222.2,-3.196,126.4
215.5,-3.292,139.1
221.9,-3.622,172.1
223.2,-3.98,159.8
214.5,-4.027,181.8
224.6,-3.292,151
212.1,-3.196,167.8
218.5,-2.886,156.8
215.2,-3.4,141.1
223.7,-3.505,183.7
218.4,-3.799,160.3
225.7,-3.112,130.4
224.6,-3.544,174.9
229.6,-2.255,191.7
217.9,-3.094,160.1
217.1,-2.943,167.1
226.9,-3.644,119.9
222.5,-3.086,168.1
216,-2.941,160.8
217.4,-2.64,165.5
222.2,-3.323,139.2
210.9,-3.113,146.4
222,-2.871,152.8
217.9,-3.703,144.7
229.3,-3.592,151.1
208.5,-3.245,140.9
228.7,-3.094,251.8
215.3,-3.425,114
220.5,-3.128,196.3
224.4,-3.624,152
227.6,-2.309,171.6
218.8,-2.982,174.1
217.9,-3.308,126.8
217.5,-3.565,134.5
222.8,-2.806,136.1
220.6,-2.99,152.7
220.1,-3.519,153.4
226.7,-2.525,164.8
220,-2.494,172.3
223.8,-2.445,205.2
219,-2.75,118.5
225.4,-3.48,170.4
216.6,-2.704,199.4
223.2,-2.428,182.9
222.8,-4.091,134.5
222.7,-2.948,185.9
233.3,-3.351,119.9
224.3,-3.384,166
218.6,-3.623,104.3
221,-3.374,179.2
217.8,-3.541,156.7
219.6,-3.592,162.8
220.5,-3.156,156.6
213,-2.577,208.2
217,-3.512,177.3
220.5,-3.027,197.5
