beta0,beta1,yp
229.5,-3.091,125
228,-3.358,167.4
216.5,-3.45,109.9
224.7,-2.597,188.2
228.4,-3.445,173.9
222,-3.659,182.4
222.5,-4.26,163.5
218.5,-3.882,132
221.8,-3.144,146.7
224.8,-3.563,139
218.7,-3.215,186.7
210.8,-2.762,165.5
224.2,-3.427,152.9
229.2,-3.93,149
215.9,-2.917,194
220.6,-3.164,177.1
211.7,-2.795,142.9
210.5,-4.122,113.8
221.5,-3.339,159.6
225.5,-2.864,168.7
224.1,-2.32,189.7
227.8,-3.443,219.7
210.5,-3.089,99.69
209.5,-3.329,166.5
227.8,-2.41,170.4
215,-3.855,207.6
215,-2.608,145.2
221.9,-3.505,120.3
221.5,-3.075,138.3
208.5,-3.189,130.2
209.7,-3.22,156.7
227.3,-2.985,176.9
209.3,-3.505,95.38
227.2,-2.666,208.4
218,-3.081,141.6
216.1,-3.927,143.7
223.1,-3.502,74.56
213.9,-3.037,183.1
215.4,-3.171,159.7
222.3,-4.003,150.7
213.7,-3.386,131.4
211,-2.603,184.5
220.4,-2.755,219.9
222.9,-3.04,146.2
212.2,-3.034,112.5
218.7,-2.943,175
225.7,-3.457,161.7
222.6,-3.724,124.1
221.2,-2.443,156.3
225.9,-3.708,146.8
214.8,-2.838,185.2
222,-4.111,181.4
211.3,-3.305,113.7
211.7,-3.539,219.7
223.4,-3.031,167
223.5,-2.779,149.4
218.6,-3.877,182.3
224.2,-3.177,195.9
221,-3.122,141.1
210.5,-3.061,175.9
217.1,-3.452,203
213.6,-4.032,169.6
223.5,-2.769,179.3
219.8,-3.507,189.5
227.5,-3.27,150.5
228.3,-3.387,201.9
226.1,-2.647,182
219.3,-2.991,121.9
218.7,-3.08,129.8
215.4,-1.61,205.5
227.5,-3.387,143.8
215.4,-3.301,140.9
218.3,-3.44,151.3
218.9,-3.274,144.7
217.4,-3.651,79.44
217.4,-2.733,205.5
225.9,-4.251,72.07
217.8,-3.369,208.3
221.2,-3.315,116
218.5,-3.782,127.5
223.8,-4.371,172.8
221,-3.267,137
220.8,-3.142,173.8
229.5,-2.825,206.7
217.9,-3.636,76.84
221.1,-3.097,151.2
223.9,-3.523,189.4
217.2,-3.145,150.2
217.6,-3.749,95.95
230.6,-2.577,151.6
211.1,-2.621,171.2
220.9,-3.655,121
225,-2.993,164.7
218,-3.413,137
220.2,-3.903,160.6
224.1,-2.37,128.9
217.6,-2.646,142.8
220.1,-3.388,119.6
221.1,-3.301,167.7
229,-2.926,142.7
217,-2.974,113.2
222.8,-2.715,140
217.1,-3.347,160.6
229.2,-3.482,142
210.7,-3.561,128.5
226,-3.894,153.3
222.8,-3.088,166.2
216.2,-3.237,177.3
221.9,-3.438,127
221.5,-3.269,158.9
215.2,-3.087,138.8
217.8,-3.134,177.7
220.7,-3.158,177.2
226.5,-4.113,106
221.8,-3.668,160.1
217.7,-2.89,144.6
223.4,-3.341,108.6
221.6,-2.817,151.3
217.3,-3.527,162.9
211.7,-3.105,150.8
224,-2.61,193.8
221.9,-2.929,167.4
222.2,-2.729,161.8
220.5,-3.869,109.8
220,-3.121,182.9
215.6,-3.404,167.3
211.2,-3.589,111.3
229.9,-3.464,148.6
213.7,-3.038,150.6
226.1,-2.512,166.7
220.8,-3.668,136.8
220.5,-4.39,140.5
219.8,-3.23,143.6
225,-3.609,147.5
216.4,-2.937,171.8
221.1,-3.24,192.5
214.8,-3.346,154.2
217.7,-3.392,145.9
221.6,-2.7,207.6
215.7,-3.308,172.7
209.6,-2.937,127.9
214.4,-3.49,141.4
216,-3.424,136.9
221.1,-2.142,213.1
225.1,-3.598,168.2
221.8,-3.204,202.1
212.7,-3.368,226.9
231.8,-2.461,185.4
224.5,-3.57,139.2
220.4,-3.623,189
224.4,-3.364,188.5
227.5,-3.341,133.7
228.2,-3.647,144.8
221.2,-3.395,158.5
219.8,-4.104,118.8
216.6,-3.993,128.7
217.3,-2.64,165.4
220.6,-2.826,191
